id_centros_educacion,centros_educacion
BEAMZ,escuela 47 juan bonino gallo
PWO82,liceo de 25 de agosto
NH7JY,hobe sound bible college
NH85Z,the geneva school
1F3PZ,energy & marine center
TLW7G,asphalt avenue
32S1L,central school
ZRBSG,osceola fundamental high school
D3ON8,trout creek academy
2N2LP,lake como elementary school
G2TD6,northeast 1st road
9I2B8,lake weston elementary school
U1PGC,betton hills preparatory school
7P2IH,quantum high school
SM20V,a crawford mosley high school
CBI2N,blessed trinity school
BZA78,our lady of lourdes catholic school
KT2LG,picolata crossing elementary school
ALOZY,united methodist christian school
EZ96O,palm beach school district
S3K13,west 14th street
AENVA,royal palm elementary school
HROFO,wood avenue
NIM4L,lake-sumter state college - sumter center
OMO5A,lake pointe academy
3JCC3,tohopekaliga high school
TDQSJ,bay district schools
DJE0H,beulah
NF50F,village park elementary school
4CEVP,wadsworth elementary school
IOPMU,first baptist christian academy
HE2RE,laureate park elementary school
550T3,vickrey place
1D1NB,lake nona high school
540RC,indian trails middle school
YSU5B,palm harbor academy
F31O7,starling drive
CNCQO,matanzas high school
LVRTE,st johns classical academy
KSKMI,minutemen causeway
YOBQG,bunnell elementary school
C57RQ,flagler early learning center
WJ74J,new college of florida
BI06N,sunset park elementary school
9IERY,bay meadows elementary school
O02MU,sand lake elementary school
UJDP1,kiddie u
G2VJN,fire lane
5118J,dr. phillips elementary school
VC45A,southwest middle school
Y4CJF,palm lake elementary school
9RDIJ,chain of lakes middle school
GFM9C,discovery prep academy
CIRNK,cclc at orlando
5RAUY,tangelo park elementary school
KQ2ZR,keene's crossing elementary school
B6Y2X,the muslim academy of greater orlando
KBJHM,hunter's creek middle school
HXEAK,valencia college west campus
ZDK0G,university of central florida - south orlando
J1UB7,southwood elementary school
JB6DO,cypress creek high school
X0IXR,endeavor elementary school grounds
4ND0Z,hidden oaks elementary school
UEYOR,durrance elementary school
P60ZI,stone lakes elementary school
HV2OQ,cypress park elementary school
5ILBH,south creek middle school
K62NF,c3
NP0VT,lake george elementary school
4DSUF,glenridge middle school
7VO9P,winter park high school
X5M30,meadow woods middle school
W96HJ,ivey lane elementary school
JYMGL,princeton elementary school
AMMKB,chickasaw elementary school
DGJIP,john young elementary school
5F0YQ,waterbridge elementary school
GZKM3,freedom middle school
649UO,freedom high school
AEGNI,walker middle school
9KRVG,lancaster elementary school
LHK8L,oak ridge high school
ZBO31,winegard elementary school
OPCK7,bishop moore high school
C89Q3,lee middle school
2S05T,edgewater high school
5HIY3,rolling hills elementary school
POJJ4,evans high school
22F3D,rosemont elementary school
V45HY,florida a&m university college of law
F6LDD,eagle's nest elementary school
BFBTQ,catalina lane
9XUNK,washington shores elementary school
ZMLXY,rosen college of hospitality management
24FGN,east river high school
D3DGN,columbia elementary school
3OSWV,corner lake middle school
MO08F,east lake elementary school
JMEKL,jackson middle school
VYF5N,colonial high school
CCNY6,engelwood elementary school
SAU7Q,boone high school
FMJ9G,blankner school
99LC8,pine castle elementary school
8QDEL,dover shores elementary school
VDPJ1,metrowest elementary school
2CFLD,eastern florida state college - melbourne campus
DFRIM,west orange high school
0W8GI,thornebrooke elementary school
UXXJU,alternative education
G0CR3,anthem college
ZHCG8,mccoy elementary school
HQCE4,carver middle school
S02N6,eccleston elementary school
Q67T8,orange center elementary school
JQ469,conway elementary school
458DD,ventura elementary school
VTSWP,conway middle school
C94D7,richmond heights elementary school
YYRTK,gateway school
I7IUP,rymfire elementary
VOUUY,millennia elementary school
MB3KR,wyndham lakes elementary school
JKOUQ,nova southeastern university
S7EW1,lake whitney elementary school
XFZLJ,lake nona middle school
TIV0I,meadow woods elementary school
H3DY0,windy ridge school
WMUY3,apopka high school
2V6RG,lake gem elementary school
N9OTH,arbor ridge school
Q522Z,valencia college east campus
6IRZC,mollie e. ray elementary school
AMXM9,pinar elementary school
IKEY1,clay springs elementary school
SQQUV,deerwood elementary school
WC2GT,lovell elementary school
T011U,spring lake elementary school
I3G4O,ridgewood park elementary school
Z2OGH,hiawassee elementary school
NDM1M,brookshire elementary school
JGOYM,bonneville elementary school
CZCP0,chippewa trail
29MJG,kaley elementary school
5COX8,lakemont elementary school
UOTCP,makoma drive
AKDIM,canterbury school
X5VDR,east lake high school
NAUPS,bellview elementary school
GX8RK,bellview middle school
9X5O5,saint paul catholic school
NXLA8,edgewater school
FUN90,warrington middle school
EFONQ,robinswood middle school
N5F2Q,killarney elementary school
IPLL4,winter park high school 9th grade center
SOBAJ,lake silver elementary school
VBT7E,princeton house charter school
HEQVD,rock lake elementary school
TTALA,beeman park preparatory school
62NKH,fort caroline elementary school
RPX05,quitina drive
3VP1O,jacksonville university
7KS7D,bishop kenny high school
B27Z3,assumption catholic school
HVQLF,southside estates elementary school
QG78N,wildwood middle high school
QHKL4,bolles school
WN21D,bayview elementary school
M8GVB,lake shore middle school
STTB9,lakeside elementary school
CGKV3,lakeside junior high school
ODVLW,gateway elementary school
TW1E1,parking lot #5
NMSBR,miami senior high school
U9WIT,stetson university
M79Y3,seaside neighborhood school
L7WB8,lehigh senior high school
L9BWJ,james a. shanks middle school
PKZG8,cypress lake middle/high school
AO28M,florida state college at jacksonville - south campus
I1I4B,cypress k-8
NXT37,sandalwood high school
NQVUB,alden road exceptional student center
G6Y4W,brookview elementary
Z8O22,florida southwestern state college - charlotte campus
IL120,seaside charter school
D2330,abess park elementary
GPC1A,waterleaf elementary school
6BB6U,lone star elementary school
DGWM0,greenwood school
VAR59,lotus landing boulevard
XC32A,arlington country day school
IUQR3,silver lakes elementary school
PDHNT,hillel community jewish day school and high school
MTPKH,montague street
KSND0,harbor branch oceanographic institute
W6KBL,palm beach state college at lake worth
ZVT39,manatee elementary school
U2ZM5,manatee middle school
4SYXE,king street
PVX5X,p.k. yonge developmental research school
QSCUA,mater palms academy
L4CBS,scf venice
QUJ6C,terry parker high school
51T6T,arlington middle school
DJH61,parkwood heights elementary
YAGFO,arlington height elementary school
NW3TJ,arlington elementary school
33V8Q,mill creek road
JW597,holiday hill elementary school
6GPMT,episcopal high school
RR7ZD,atlantic boulevard
74GK0,the bolles school: middle school bartram campus
HCJI8,episcopal school of jacksonville
9RUSH,rolling green elementary school
FRHVA,port charlotte middle school
CT773,tyndall school
NVQWL,hammocks middle school
PTPBZ,quiet waters elementary school
CF8JP,h. s. moody elementary school;h s moody elementary school
ZB8QG,east elementary school
QN3J5,sebring middle school
0KKN8,avon park middle school
W8CO4,winthrop charter school
E8928,westside middle school
TVGON,terra environmental research institute
U0K6N,brown avenue
4ZOTA,university of florida east campus
ULR6Q,river city science acadamy
2UMWH,reynolds lane school
IYC8Y,north florida educational institute
1HPME,8082
NZZ8S,kings road
BSGH0,felix a williams elementary school
5NDY7,woodlawn beach middle school
IIJLQ,george n collins student center
SUWZD,greenland pines elementary school
05PTR,jacksonville junior academy
UA5H7,lake forest school
PCOZ4,ypab3
MMCSY,jacksonville junior academy
YUTEC,jacksonville job corps center
HS1DK,walgreen road
G3FFE,west 36th street
Q5KHB,saint clair evans academy
TJ4RK,8th street
LPBOJ,samuel a. hull elementary school
RSEK1,payne school
HPT6S,francis road
YL1B2,sallye b mathis elementary school
JVDE2,ribault scenic drive
PP8ZS,jean ribault middle school
2U92D,pickett school
ZD35L,henry f kite elementary school
QF8ZL,martin luther king junior elementary school
8WPVT,devonshire boulevard
Z9IRI,rutledge h pearson elementary school
08NZQ,eugene j butler middle school
T64KQ,smart pope livingston elementary
MP830,myrtle avenue
YWZCF,gandy street
B68CT,kiddie kollege/burnham school
OYQCA,biltmore elementary school
CNOHS,palm avenue exceptional student center
1HQ0I,winton drive
0PLGK,william m. raines high school
3NAWX,george washington carver elementary school
2AAY5,northwestern legends elementary
KBDOZ,carter g woodson elementary school
SDE18,north shore elementary school
OF97X,jackson high school
KID09,florida state college at jacksonville - north campus
KHXIV,seaside charter north campus
1BJ79,highlands elementary school
F2UP3,timber cove lane
06BFU,victory christian academy
CATQZ,garden city elementary school
9LAS0,pine estates elementary school
QN744,highlands middle school
LQK0L,biscayne elementary leadership academy
5E9WE,biscayne jacksonville high school
0GMD1,somerset academy eagle campus
EIHDM,san mateo elementary school
0MSPT,the little country school
7UVXE,west 13th street
ZU419,kipp
HFR71,kipp
4GO5A,west 5th street
5RTIY,annie r. morgan elementary school
BQVHD,the bridge to success acadamy at west jacksonville
DJDE8,407
2J6GU,3108
7J0EX,jacksonville classic acadamy
WBU3K,104-4 king ap
3WGK7,susie e. tolbert elementary
P3Z0C,r. v. daniels elementary school
9X09M,old baymeadows road
CWX1N,duval charter school at southside
8VFOY,j-tech institute
O4MUJ,lenox square
I2ILE,clubview drive
OVADS,ethel road
39EGU,mount herman exceptional student center
DGNT1,ford school
HS9V1,twin lakes academy middle school
FASA7,twin lakes academy elementary school
MW835,dinsmore elementary school
WAP1X,matthew w. gilbert middle
NPBFL,richard lewis brown acadamy
LCK0N,west 9th street
7FHFR,john love early learning center
LSJ5B,westlake avenue
EDT32,oceanway elementary school
PVZOB,mattie v.rutherford middle school
1L3A6,andrew a. robinson elementary school
YT8KY,san jose academy and preparatory high school
5LWLC,springfield middle school
CLLT8,515
TXXA0,gilmore street
8E8G0,somerset academy bay
2HHSV,oceanway middle school
R1S08,student parking lot
30KGY,darnell cookman school
DIK88,lavilla school of the arts
KZB5Z,first coast high school
JFAL1,archbishop coleman carroll
AA1Y0,gulf coast state college
FNEBV,221
6WD0T,florida state college at jacksonville betty p. cook nassau center
S0H7B,central park elementary school
C221O,southwest 110th avenue
GV37D,trinity christian fellowship faith academy
0P1JW,west melbourne elementary school for science
8UDZM,chick-fil-a
TXH3T,our lady of the rosary
53YOP,atlantis academy
8WRQJ,somerset acadamy kendal
E71CF,new berlin elementary school
LQE8W,louis s. sheffield elementary school
DRVBI,kendale elementary school
3ROW2,10990
XJT5K,floyd school
WUKPA,southwest 122nd street
MQKMN,southwest 92nd avenue
41SX8,coral reef senior high school
T17OO,southwest 97th avenue
NZ4S4,southwest 117th avenue
0P8AZ,dorothy wallace educational center
QP6ED,richmond heights middle school and biotech
ZRN6Q,frank c martin elementary school
ER5WX,sunset park elementary school
36K67,southwest 108th street
9AZNY,10570
VBB33,south dade trail
0SNVR,12400
X7GKI,southwest 86th street
XZS1B,robert morgan vocational technical institute
VUT5R,miami heights elementary school
67GUF,north hesperides street
E4N1Y,lake worth middle school
MLLRV,rex building
6SPW0,1349
A2Q7P,r r moton elementary school
22F8E,colonial drive elementary school
ZLNXY,richmond elementary school
8ZY5E,7300
CMC44,the master's academy
X9RIX,pinecrest elementary school
TFM0E,mosley drive
Y2A5S,10501
QRDVI,florida international university
PDPH9,lake asbury elementary school
VHOPF,lake asbury junior high school
JE0C1,southwest 184th street
O6Q2X,seminole elementary school
X0OXL,university of miami
1N42M,coral reef montessori academy
RW456,north 24th avenue
TRM88,tom p haney technical college
B7WOY,allentown school
D77LL,alliance school
HH5VJ,allison school
J2MD0,alta vista school
RHPWM,anderson school
VA5SZ,anderson school
5MBIA,archer community school
FUVVI,attucks high school
BU561,barrineau park school
YWZ1J,basinger school
ELF5D,bauder school
5GTOL,bay haven school
4IRJ8,bay spring school
J7L6X,beech grove school
JW5P5,bell school
2L6LU,belleview -santos elementary school
L23GA,berean school
FCZ32,bethel school
KLLEJ,bethlehem school
ABTS7,bethune school
N0G5Q,beverly shores elementary school
ZJU1Y,biscayne beach elementary school
02D25,booker schools
B2AXM,booker t washington school
YUZ3B,boston avenue school
3HGPH,braithwaite school
977R2,brentwood school
O98BF,bridgers avenue school
N6L59,brighton indian day school
IVQRJ,brink hill school
ECVMY,broadmoor elementary school
A2CC5,brown high school
53RY6,brown-barge school
YGAS1,browning pierce school
D4WIX,bruce creek school
4EIK6,bryan school
TOE4Z,bryant academy
IHROS,buckhorn school
D4VEF,buffalo avenue school
3PHW2,buthne school
2K1TK,cahoon elementary school
1PH0Y,caniehead school
D4N35,cape view elementary school
8HB66,carr school
XR56P,carver high school
MWVE9,old carver high school
E30RC,carver high school
OC1ME,cedar pond school
BAB3Y,cedar springs school
ETQ16,college of central florida
RYY09,central school
A2GJZ,central school
KUMRK,central school
TRNSM,central school
PLWHM,central academy high school
XCZ82,charlotte high school
9CB6T,cherokee school
SQ0WC,cherokee school
TBOBA,cherokee school
7YLJK,christian school
22T3E,christian school
PKWO1,christian school
TOB0D,citrus grove school
RXU09,clayland school
2YDZX,clearview avenue school
9SO14,cleveland school
US4LX,coconut grove school
32AOH,coleman school
43RWZ,coleman school
8ALRQ,college hill school
60V5V,college park elementary school
E3NGQ,comstock school
BFUF8,concord school
03NL5,coral shores school
BWSK8,coral terrace school
IHCHX,corpus christi school
IY4O3,cottage hill school
F8ITC,cottingham school
XP0Y0,county training school
V4GHJ,cove school
NHE68,cox school
9CJCE,crestview school
8KY23,crooms academy
030YK,crossroads school
